city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Nantou,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Yunlin,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Chiayi,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Pingtung,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Taitung,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Hualien,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Penghu,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Keelung,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
HsinchuCity,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
ChiayiCity,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Kinmen,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
Matsu,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
total,3.2,3.2,3.2,3.2,3.218266385,3.235737972,3.253209559,3.270681147,3.288152734,3.305624321,3.324070886,3.34251745,3.360964014,3.379410579,3.397857143,3.417362637,3.436868132,3.456373626,3.475879121,3.495384615,3.514345428,3.533306241,3.552267054,3.571227866,3.590188679,3.6111024,3.63201612,3.652929841,3.673843561,3.694757282,3.71502777,3.735298259,3.755568748,3.775839237,3.796109726
