city,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Chiayi,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Pingtung,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Taitung,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Hualien,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Penghu,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Keelung,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
HsinchuCity,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
ChiayiCity,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Kinmen,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
Matsu,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
total,0.856861372,0.869119633,0.881377895,0.893636156,0.905894418,0.918152679,0.93041094,0.942669202,0.954927463,0.967185725,0.979443986,0.991702248,1.003960509,1.01621877,1.028477032,1.040735293,1.052993555,1.065251816,1.077510078,1.089768339,1.094952425,1.100136511,1.105320597,1.110504683,1.11568877,1.120872856,1.126056942,1.131241028,1.136425114,1.1416092,1.146793286,1.151977372,1.157161458,1.162345544,1.167529631
